TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
152.2,14712,,,First National Bank,FORT PIERRE,SD,Y,N
152.3,,1133567,,FULDA BANCORPORATION INC.,BRITTON,SD, ,N
152.3,25894,,,First National Bank,FULDA,MN,Y,N
152.4,,,H1128,"Beresford Bancorporation, Inc.",Britton,SD, ,N
152.4,32629,,,First Savings Bank,BERESFORD,SD,Y,N
157.1,,1200290,,PERRY INVESTMENT COMPANY,CARROLL,IA, ,N
157.1,245,,,Raccoon Valley Bank,PERRY,IA,Y,N
157.2,,1205905,,GREENE INVESTMENT CO.,JEFFERSON,IA, ,Y
157.2,5814,,,Audubon State Bank,AUDUBON,IA,Y,Y
157.2,14867,,,Home State Bank,JEFFERSON,IA,Y,Y
157.2,17348,,,South Story Bank & Trust,SLATER,IA,Y,Y
160.1,,1051504,,"G. S. BANCSHARES, INC.",GOODLAND,KS, ,N
