County Name,State Name,State FIPS,County FIPS,Total Deposits ($),TARP CPP Deposits ($),TARP CPP Deposits (%),Total Branches ,TARP CPP Branches,TARP CPP Branches (%),Total HMDA Loan Originations (#),TARP HMDA Loan Originations (#),TARP HMDA Loan Originations (%)
Dakota County,Nebraska,31,43,249416000,0,0,12,0,0,163,52,0.3234
Dawes County,Nebraska,31,45,140773000,16588000,0.1178,4,1,0.25,70,37,0.5344
Dawson County,Nebraska,31,47,523110000,100260000,0.1917,17,3,0.1765,184,77,0.422
Deuel County,Nebraska,31,49,24556000,5170000,0.2105,3,1,0.3333,18,9,0.5455
Dixon County,Nebraska,31,51,90494000,0,0,4,0,0,25,4,0.1761
Dodge County,Nebraska,31,53,850444000,45903000,0.054,24,3,0.125,293,120,0.4121
Douglas County,Nebraska,31,55,13208734000,2617070000,0.1981,193,40,0.2073,8004,3410,0.4261
Dundy County,Nebraska,31,57,44236000,0,0,2,0,0,5,1,0.3125
Fillmore County,Nebraska,31,59,199590000,0,0,9,0,0,23,8,0.3898
Franklin County,Nebraska,31,61,77799000,0,0,5,0,0,15,7,0.4839
Frontier County,Nebraska,31,63,120279000,0,0,3,0,0,19,8,0.4419
Furnas County,Nebraska,31,65,165745000,0,0,8,0,0,19,7,0.3878
Gage County,Nebraska,31,67,350689000,15583000,0.0444,15,1,0.0667,185,53,0.2873
Garden County,Nebraska,31,69,59343000,0,0,3,0,0,12,8,0.7059
Garfield County,Nebraska,31,71,38460000,9728000,0.2529,2,1,0.5,3,0,0.0938
Gosper County,Nebraska,31,73,31389000,13196000,0.4204,2,1,0.5,32,17,0.5424
Grant County,Nebraska,31,75,9700000,0,0,2,0,0,3,1,0.6
Greeley County,Nebraska,31,77,69093000,0,0,5,0,0,9,4,0.5
Hall County,Nebraska,31,79,1246115000,281168000,0.2256,37,8,0.2162,387,147,0.3805
Hamilton County,Nebraska,31,81,244395000,0,0,10,0,0,52,11,0.2158
Harlan County,Nebraska,31,83,114351000,0,0,5,0,0,11,3,0.3056
Hayes County,Nebraska,31,85,13812000,0,0,1,0,0,1,1,1
Hitchcock County,Nebraska,31,87,27749000,0,0,3,0,0,20,9,0.4651
Holt County,Nebraska,31,89,309439000,0,0,10,0,0,35,7,0.2083
Hooker County,Nebraska,31,91,21154000,0,0,2,0,0,4,2,0.5
Howard County,Nebraska,31,93,111473000,0,0,7,0,0,33,10,0.3084
Jefferson County,Nebraska,31,95,223744000,5505000,0.0246,10,1,0.1,25,5,0.2119
Johnson County,Nebraska,31,97,99848000,0,0,6,0,0,14,1,0.1129
Kearney County,Nebraska,31,99,161661000,0,0,4,0,0,50,23,0.4762
Keith County,Nebraska,31,101,225054000,119695000,0.5319,6,3,0.5,102,56,0.5543
Keya Paha County,Nebraska,31,103,10978000,0,0,1,0,0,1,0,0.3333
Kimball County,Nebraska,31,105,127477000,0,0,2,0,0,29,8,0.3053
Knox County,Nebraska,31,107,219773000,0,0,9,0,0,32,8,0.2735
Lancaster County,Nebraska,31,109,4274337000,1224244000,0.2864,131,31,0.2366,3491,1272,0.3646
Lincoln County,Nebraska,31,111,688800000,130882000,0.19,22,6,0.2727,334,135,0.4053
Logan County,Nebraska,31,113,10202000,0,0,1,0,0,4,1,0.4444
Loup County,Nebraska,31,115,22533000,0,0,1,0,0,1,0,0.1
Madison County,Nebraska,31,119,993446000,159324000,0.1604,26,5,0.1923,285,166,0.584
McPherson County,Nebraska,31,117,0,0,0,0,0,0,0,0,0
Merrick County,Nebraska,31,121,135042000,0,0,6,0,0,37,8,0.2327
Morrill County,Nebraska,31,123,87835000,45037000,0.5127,4,2,0.5,57,43,0.76
Nance County,Nebraska,31,125,95897000,0,0,3,0,0,12,3,0.3333
Nemaha County,Nebraska,31,127,192990000,0,0,7,0,0,44,12,0.2876
Nuckolls County,Nebraska,31,129,137337000,32125000,0.2339,7,2,0.2857,25,12,0.5
Otoe County,Nebraska,31,131,337245000,7731000,0.0229,14,1,0.0714,100,22,0.2247
Pawnee County,Nebraska,31,133,61262000,0,0,7,0,0,8,1,0.2353
Perkins County,Nebraska,31,135,80690000,37895000,0.4696,5,3,0.6,30,18,0.625
Phelps County,Nebraska,31,137,232199000,0,0,9,0,0,63,17,0.2812
Pierce County,Nebraska,31,139,138088000,0,0,4,0,0,49,26,0.5385
Platte County,Nebraska,31,141,737979000,8869000,0.012,21,1,0.0476,139,36,0.2603
Polk County,Nebraska,31,143,116563000,0,0,5,0,0,17,4,0.2656
Red Willow County,Nebraska,31,145,408428000,54429000,0.1333,10,2,0.2,58,21,0.3648
Richardson County,Nebraska,31,147,236743000,0,0,9,0,0,30,8,0.2727
Rock County,Nebraska,31,149,42177000,0,0,2,0,0,0,0,0
Saline County,Nebraska,31,151,349472000,19487000,0.0558,11,1,0.0909,93,25,0.2768
Sarpy County,Nebraska,31,153,1162216000,136655000,0.1176,39,7,0.1795,2539,964,0.3798
Saunders County,Nebraska,31,155,407210000,0,0,20,0,0,227,69,0.3072
Scotts Bluff County,Nebraska,31,157,762953000,201473000,0.2641,19,7,0.3684,368,213,0.5814
Seward County,Nebraska,31,159,370280000,56849000,0.1535,10,2,0.2,142,35,0.2527
Sheridan County,Nebraska,31,161,205956000,75413000,0.3662,5,3,0.6,48,32,0.6667
Sherman County,Nebraska,31,163,80137000,0,0,4,0,0,6,1,0.3
Sioux County,Nebraska,31,165,20328000,20328000,1,1,1,1,5,2,0.4167
Stanton County,Nebraska,31,167,60235000,0,0,3,0,0,53,35,0.6709
Thayer County,Nebraska,31,169,259237000,0,0,11,0,0,19,6,0.3654
Thomas County,Nebraska,31,171,12921000,12921000,1,1,1,1,9,5,0.6429
Thurston County,Nebraska,31,173,126553000,0,0,3,0,0,13,6,0.52
Valley County,Nebraska,31,175,129616000,11073000,0.0854,6,1,0.1667,17,5,0.3036
Washington County,Nebraska,31,177,313110000,21940000,0.0701,6,1,0.1667,223,79,0.3545
Wayne County,Nebraska,31,179,233079000,0,0,9,0,0,62,27,0.446
Webster County,Nebraska,31,181,75228000,0,0,3,0,0,22,14,0.6667
Wheeler County,Nebraska,31,183,46455000,0,0,2,0,0,0,0,0
York County,Nebraska,31,185,551021000,0,0,17,0,0,49,13,0.28
Carson City,Nevada,32,510,1092089000,737339000,0.6752,21,13,0.619,789,401,0.5087
Churchill County,Nevada,32,1,241472000,168528000,0.6979,7,5,0.7143,385,192,0.4994
Clark County,Nevada,32,3,1.26296E+11,1.0246E+11,0.8113,361,275,0.7618,40988,19555,0.4771
Douglas County,Nevada,32,5,640178000,510919000,0.7981,13,10,0.7692,1082,591,0.547
Elko County,Nevada,32,7,423082000,223739000,0.5288,15,8,0.5333,753,347,0.4617
Esmeralda County,Nevada,32,9,0,0,0,0,0,0,2,1,0.5
Eureka County,Nevada,32,11,46197000,46197000,1,1,1,1,16,11,0.6957
Humboldt County,Nevada,32,13,183371000,156141000,0.8515,5,4,0.8,272,154,0.5678
Lander County,Nevada,32,15,23144000,23144000,1,1,1,1,90,64,0.7143
Lincoln County,Nevada,32,17,40435000,10860000,0.2686,4,1,0.25,47,22,0.4796
