Date,Ticker,Name,Tier,Currency,Docclause,Tenor,Composite
07-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
10-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
11-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
12-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
13-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,38
14-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
17-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
18-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
19-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
20-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,38
21-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
24-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
25-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
26-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
27-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
28-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
31-Dec-2007,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
01-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
02-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,40
03-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,40
04-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,42
07-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,42
08-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,42
09-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,45
10-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,48
11-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,48
14-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,49
15-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,49
16-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,49
17-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,57
18-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,56
21-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,56
22-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,61
23-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,60
24-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,52
25-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,53
28-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,54
29-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,53
30-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,53
31-Jan-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,57
01-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,56
04-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,56
05-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,60
06-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,62
07-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,65
08-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,69
11-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,73
12-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,73
13-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,72
14-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,74
15-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,77
18-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,78
19-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,78
20-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,81
21-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,81
22-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,86
25-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,84
26-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,78
27-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,77
28-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,79
29-Feb-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,82
03-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,82
04-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,83
05-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,85
06-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,97
07-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,96
10-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,96
11-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,77
12-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,78
13-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,81
14-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,78
17-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,74
18-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,56
19-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,56
20-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,55
21-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,55
24-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,49
