Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,9061,Yuba-Sutter Transit Authority,Marysville,CA,"Yuba City, CA",262,35,"97,645",DR,PT,"560,184","674,622","398,063","90,700","87,990","130,145","515,396","791,427","474,190","630,300","618,761","349,444","399,336","433,752","400,335","462,936","451,750"
2007,9061,Yuba-Sutter Transit Authority,Marysville,CA,"Yuba City, CA",262,35,"97,645",MB,PT,,,"130,459","22,784","20,240","2,098,908","2,583,629","796,444","2,480,000","3,021,880","3,484,513","6,429,622","3,823,884","4,531,590","4,758,120","5,171,704","5,504,378"
2007,9062,Monterey-Salinas Transit,Monterey,CA,"Seaside-Monterey-Marina, CA",213,41,"125,503",DR,PT,,,,,,,"648,779","701,554","874,960","959,410","1,013,932","942,707","853,531","636,540","641,196","630,863","640,171"
2007,9062,Monterey-Salinas Transit,Monterey,CA,"Seaside-Monterey-Marina, CA",213,41,"125,503",MB,DO,"18,121,580","17,586,279","17,429,728","17,318,396","17,967,927","17,083,031","17,429,728","21,017,517","21,017,517","21,017,517","24,831,378","24,932,151","21,835,354","21,356,007","22,113,140","21,488,660","21,655,412"
2007,9062,Monterey-Salinas Transit,Monterey,CA,"Seaside-Monterey-Marina, CA",213,41,"125,503",MB,PT,,,,"176,593","885,871","615,110","527,529",,,"316,708","505,274","410,723","696,552","1,872,140","1,264,361","3,676,499","4,539,305"
1991,9063,Redondo Beach Dial-A-Ride,Redondo Beach,CA,"Los Angeles, CA",2,"1,966","11,402,946",DR,PT,"237,848",,,,,,,,,,,,,,,,
1993,9077,Los Angeles County Transportation Commission / MTA,Los Angeles,CA,"Los Angeles, CA",2,"1,966","11,402,946",DR,PT,"9,374,699","9,222,902","3,677,662",,,,,,,,,,,,,,
1993,9077,Los Angeles County Transportation Commission / MTA,Los Angeles,CA,"Los Angeles, CA",2,"1,966","11,402,946",MB,PT,"52,246,969","23,177,420","7,873,813",,,,,,,,,,,,,,
2007,9078,Central Contra Costa Transit Authority,Concord,CA,"Concord, CA",65,176,"552,624",DR,PT,"483,269","537,104","480,291","546,373","526,522","653,882","776,830","855,278","882,291","979,084","981,320","980,390","1,054,661","1,511,485","1,543,150","1,634,610","1,626,961"
2007,9078,Central Contra Costa Transit Authority,Concord,CA,"Concord, CA",65,176,"552,624",MB,DO,"15,500,875","15,841,634","17,023,272","18,963,727","14,195,634","20,431,971","21,666,252","16,291,444","20,338,499","18,446,780","19,857,078","25,183,132","18,871,880","17,878,522","19,305,514","18,290,072","16,028,755"
2007,9079,SunLine Transit Agency,Thousand Palms,CA,"Indio-Cathedral City-Palm Springs, CA",125,99,"254,856",DR,DO,"288,931",0,,,,,,,,"1,024,291","1,242,245","1,265,403","1,023,689","1,044,835","1,039,540","884,522","937,339"
2007,9079,SunLine Transit Agency,Thousand Palms,CA,"Indio-Cathedral City-Palm Springs, CA",125,99,"254,856",DR,PT,"63,499","754,662","695,436","710,708","922,908","805,256","806,953","991,937","1,005,763","172,125",,,,,,,
2007,9079,SunLine Transit Agency,Thousand Palms,CA,"Indio-Cathedral City-Palm Springs, CA",125,99,"254,856",MB,DO,"16,803,488","19,335,420","20,622,048","16,471,322","18,488,336","18,374,586","18,886,795",0,"21,684,559","22,769,498","23,756,793","24,995,824","28,872,508","28,924,954","20,279,060","21,129,973","20,820,232"
2007,9079,SunLine Transit Agency,Thousand Palms,CA,"Indio-Cathedral City-Palm Springs, CA",125,99,"254,856",MB,PT,"4,712",,,,,,,,,,,,,,,,
2007,9086,City of Riverside Special Transportation,Riverside,CA,"Riverside-San Bernardino, CA",25,439,"1,506,816",DR,DO,"444,968","466,804","489,245","496,679","488,630","478,660","474,423","510,315","501,108","569,935","642,597","669,861","663,008","669,859","601,964","571,430","547,023"
2007,9087,Santa Maria Area Transit,Santa Maria,CA,"Santa Maria, CA",222,36,"120,297",DR,PT,"135,720","127,447","100,000","100,000","184,210","184,210","184,744","178,322","173,150","170,880","180,908","185,964","178,752","184,086","150,048","144,780","133,288"
2007,9087,Santa Maria Area Transit,Santa Maria,CA,"Santa Maria, CA",222,36,"120,297",MB,PT,"772,374","842,000","894,400","894,400","938,804","932,604","951,068","289,120","716,140","765,720","817,761","870,957","964,060","1,002,079","1,018,797","1,318,122","1,515,782"
2007,9088,Napa County Transportation Planning Agency,Napa,CA,"Napa, CA",309,24,"79,867",DR,PT,,,,,,,,"229,220","271,307","264,050","243,894","288,677","224,935",0,"333,854","345,619","347,530"
2007,9088,Napa County Transportation Planning Agency,Napa,CA,"Napa, CA",309,24,"79,867",MB,PT,"3,709,019","3,677,608",0,0,"3,861,473",,,"3,113,716","3,269,813","2,962,488","2,937,962","3,659,775","3,638,761",0,"2,630,800","2,893,143","2,939,396"
2007,9089,Sonoma County Transit,Santa Rosa,CA,"Santa Rosa, CA",111,102,"285,408",DR,PT,,,,,,"267,538","279,760","314,043","348,531","371,977","385,271","363,657","428,720","367,731","393,780","420,942","442,167"
2007,9089,Sonoma County Transit,Santa Rosa,CA,"Santa Rosa, CA",111,102,"285,408",MB,PT,"17,180,410","18,618,601","19,703,411","13,711,061","14,253,051","15,070,710","15,407,514","15,927,356","13,225,436","13,554,511","13,780,031","13,617,823","11,145,026","10,523,704","10,087,698","12,069,098","12,650,179"
2007,9090,Yolo County Transportation District,Woodland,CA,"Sacramento, CA",28,369,"1,393,498",DR,PT,,,,,,,,,,"212,882","111,643","124,133","110,586","112,712","113,615","102,304","143,251"
2007,9090,Yolo County Transportation District,Woodland,CA,"Sacramento, CA",28,369,"1,393,498",MB,PT,"6,260,445","6,521,297","5,919,464","6,099,630","6,106,344","6,973,304","7,003,564","8,314,682","14,051,509","16,663,292","18,625,261","12,500,095","11,976,788","11,508,643","14,480,772","15,388,098","16,039,356"
2007,9091,City of Visalia - Visalia City Coach,Visalia,CA,"Visalia, CA",223,40,"120,044",DR,DO,"127,472","146,348",,,,,,,,,,,,,,,
2007,9091,City of Visalia - Visalia City Coach,Visalia,CA,"Visalia, CA",223,40,"120,044",DR,PT,,,"162,582","159,575","162,757","156,320","163,600","162,284","211,873","208,550","214,226","199,924","231,149","232,385","235,886","215,220","235,886"
2007,9091,City of Visalia - Visalia City Coach,Visalia,CA,"Visalia, CA",223,40,"120,044",MB,DO,"1,832,760","2,144,706",,,,,,,,,,,,,,,
2007,9091,City of Visalia - Visalia City Coach,Visalia,CA,"Visalia, CA",223,40,"120,044",MB,PT,,,"2,775,328","3,050,955","3,623,601","4,334,316","4,464,800","5,001,035","5,965,368","5,614,988","5,337,381","5,271,342","3,959,846","4,836,835","5,447,816","5,461,679","5,473,886"
2007,9092,City of Fairfield - Fairfield-Suisun Transit,Fairfield,CA,"Fairfield, CA",236,26,"112,446",DR,PT,"16,023","16,023","22,913","30,313","31,489","28,640","24,000","103,559","112,710","113,016","113,193","114,406","96,383","106,528","157,399","174,349","168,625"
