12/23/2008,Intervest Bancshares Corporation ,New York ,NY ,25000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Peoples Bancorp of North Carolina&#44; Inc. ,Newton ,NC ,25054000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Parkvale Financial Corporation ,Monroeville ,PA ,31762000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Timberland Bancorp&#44; Inc. ,Hoquiam ,WA ,16641000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,1st Constitution Bancorp ,Cranbury ,NJ ,12000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Central Jersey Bancorp ,Oakhurst ,NJ ,11300000,Preferred Stock w/ Warrants ,Purchase,Par 
12/23/2008,Western Illinois Bancshares Inc. ,Monmouth ,IL ,6855000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Saigon National Bank ,Westminster ,CA ,1549000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Capital Pacific Bancorp ,Portland ,OR ,4000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Uwharrie Capital Corp ,Albemarle ,NC ,10000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Mission Valley Bancorp ,Sun Valley ,CA ,5500000,Preferred Stock ,Purchase,Par 
12/23/2008,The Little Bank&#44; Incorporated ,Kinston ,NC ,7500000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Pacific Commerce Bank ,Los Angeles ,CA ,4060000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Citizens Community Bank ,South Hill ,VA ,3000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Seacoast Commerce Bank ,Chula Vista ,CA ,1800000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,TCNB Financial Corp. ,Dayton ,OH ,2000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Leader Bancorp&#44; Inc. ,Arlington ,MA ,5830000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Nicolet Bankshares&#44; Inc. ,Green Bay ,WI ,14964000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Magna Bank ,Memphis ,TN ,13795000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Western Community Bancshares&#44; Inc. ,Palm Desert ,CA ,7290000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Community Investors Bancorp&#44; Inc. ,Bucyrus ,OH ,2600000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Capital Bancorp&#44; Inc. ,Rockville ,MD ,4700000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Cache Valley Banking Company ,Logan ,UT ,4767000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Citizens Bancorp ,Nevada City ,CA ,10400000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Tennessee Valley Financial Holdings&#44; Inc. ,Oak Ridge ,TN ,3000000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/23/2008,Pacific Coast Bankers' Bancshares ,San Francisco ,CA ,11600000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
12/31/2008,SunTrust Banks&#44; Inc. ,Atlanta ,GA ,1350000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/31/2008,The PNC Financial Services Group Inc. ,Pittsburgh ,PA ,7579200000,Preferred Stock w/ Warrants ,Purchase,Par 
12/31/2008,Fifth Third Bancorp ,Cincinnati ,OH ,3408000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/31/2008,Hampton Roads Bankshares&#44; Inc. ,Norfolk ,VA ,80347000,Preferred Stock w/ Warrants ,Purchase,Par 
12/31/2008,CIT Group Inc. ,New York ,NY ,2330000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/31/2008,West Bancorporation&#44; Inc. ,West Des Moines ,IA ,36000000,Preferred Stock w/ Warrants ,Purchase,Par 
12/31/2008,First Banks&#44; Inc. ,Clayton ,MO ,295400000,Preferred Stock w/ Exercised Warrants ,Purchase,Par 
1/9/2009,Bank of America Corporation ,Charlotte,NC ,10000000000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,FirstMerit Corporation,Akron,OH ,125000000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Farmers Capital Bank Corporation,Frankfort,KY ,30000000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Peapack-Gladstone Financial Corporation,Gladstone,NJ ,28685000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Commerce National Bank,Newport Beach,CA ,5000000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,The First Bancorp&#44; Inc.,Damariscotta,ME ,25000000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Sun Bancorp&#44; Inc.,Vineland,NJ ,89310000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Crescent Financial Corporation,Cary ,NC ,24900000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,American Express Company,New York ,NY ,3388890000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Central Pacific Financial Corp.,Honolulu,HI,135000000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Centrue Financial Corporation,St. Louis ,MO ,32668000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Eastern Virginia Bankshares&#44; Inc.,Tappahannock,VA ,24000000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Colony Bankcorp&#44; Inc.,Fitzgerald,GA ,28000000,Preferred Stock w/ Warrants ,Purchase,Par 
1/9/2009,Independent Bank Corp.,Rockland,MA ,78158000,Preferred Stock w/ Warrants ,Purchase,Par 
