Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MO,PT,,,"21,214","20,600","20,324","22,508","24,124","28,184","28,184","27,180","27,644","20,684","22,905","10,016","15,582","2,196","18,620"
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",OR,DO,"19,240","20,524",,,,,,,,,,,,,,,
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",OR,PT,0,,,,,,,,,,,,,,,,
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",DR,DO,,,,,,,,,"33,222","55,308","58,695","61,538","66,634","71,099","72,004","77,701","81,773"
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",DR,PT,"24,803","24,220","28,987","32,948","36,212","48,317","59,179","70,714","32,600",,,,,,,,
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",MB,DO,"143,016","143,478","137,443","144,808","158,406","190,008","217,900","275,208","283,218","260,482","246,593","250,108","244,548","243,988","231,191","230,657","247,323"
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",MB,PT,"2,741",,,,,,,,,,,,,,,,
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",VP,DO,"1,102","1,424","2,856","2,325","2,331","2,248","3,356","4,960","7,448","7,569","4,966","3,593","3,223","1,895",31,,
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",DR,PT,,,,,,,,,,"22,592","23,158","26,220","61,769","65,480","74,000","85,763","140,894"
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",MB,DO,"107,434","117,120","121,537","121,440","117,208","116,800","131,989","133,737","136,652","139,802","158,053","160,899","162,004","168,541","173,660","171,375","173,879"
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",VP,PT,,,,,,,,,,,,,,,811,"2,913","3,557"
2007,0028,Pierce County Ferry Operations,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",FB,DO,"4,531","4,544",,,,,,,,,,,,,,,
2007,0028,Pierce County Ferry Operations,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",FB,PT,,,"4,888","4,903","4,695","4,704","4,692","5,328","5,310","5,365","5,266","5,395","5,266","5,650","5,737","5,736","5,735"
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,"100,254"
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"154,574","157,153","162,530","162,235","195,516","221,197","238,311","320,459","350,312","277,848","291,342","318,892","384,907","410,198","416,175","421,786","431,703"
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,,"56,506","57,334","58,688","61,973","64,176","64,415","65,479","73,949","102,084","107,146","105,600","111,078","119,557","59,208","62,631","63,594"
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"13,717","20,858","23,249","20,535",,"43,534","66,136","72,932","73,746","65,790","70,075","61,372","56,811","55,559","61,689","70,773","75,943"
2006,0033,Senior Services of Snohomish County,Mukilteo,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"25,567","33,399","45,484","53,978","56,586","59,488","57,447","65,797","67,049","62,933","72,281","80,133","81,771","89,661","97,170","94,890",
2007,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780",DR,DO,,,,,,,,,,,,"3,150","10,080","6,375",,,
2007,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780",DR,PT,,,137,602,"2,467","12,946","9,987","9,945","8,925","8,820","26,712","29,871","35,784",0,"24,255","38,470","27,811"
2007,0034,Rogue Valley Transportation District,Medford,OR,"Medford, OR",210,59,"128,780",MB,DO,"44,610","36,764","35,374","35,675","37,184","34,453","22,695","43,350","39,015","38,808","29,736","29,936","31,475","36,767","54,548","47,112","40,386"
2007,0035,Washington State Ferries,Seattle,WA,"Seattle, WA",14,954,"2,712,205",FB,DO,"120,104","120,736","120,592","119,548","119,548","125,301","126,028","133,276","133,012","146,000","135,480","137,791","136,159","130,685","129,383","128,442","127,963"
1991,0036,"ATE Management & Service Company, Inc.",Mukilteo,WA,"Seattle, WA",18,588,"1,744,086",MB,DO,"55,551",,,,,,,,,,,,,,,,
1998,0038,Community and Rural Transportation,Idaho Falls,ID,"Idaho Falls, ID",362,21,"56,356",DR,DO,,,0,"30,015","25,856","25,600","27,392","29,184",,,,,,,,,
2007,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",CR,PT,,,,,,,,,,"1,872","6,839","7,595","9,769","12,348","14,201","16,095","19,279"
2007,0040,Central Puget Sound Regional Transit Authority,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,DO,,,,,,,,,,,,,"1,828","9,971","9,610","9,979","10,060"
