Date,Name,Price Paid,Pricing Mechanism,Description,Transaction Type,FDIC Number,OTS Number,Type of Institution,Total Assets (Q4 2008),Regulator,City,State,Stock Symbol,Program,Warrant Strike Price,Warrant Received,Stock Price (as of close 2009-04-08),In/Out of Money (as of close 2009-04-08),Subsidy Rate Estimate (percentage),Subsidy Rate Estimate Date,Subsidy Rate Estimate Source
2009-01-16,Syringa Bancorp,8000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3338861,,holding company,289637000.00,Federal Reserve,Boise,ID,,CPP,,,,,,,
2009-01-16,"TCB Holding Company, Texas Community Bank",11730000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3345225,,holding company,496892000.00,Federal Reserve,The Woodlands,TX,,CPP,,,,,,,
2009-01-16,"Texas Capital Bancshares, Inc.",75000000.00,Par,Preferred Stock w/Warrants,Purchase,2706735,,holding company,5131657000.00,Federal Reserve,Dallas,TX,TCBI,CPP,14.84,758086,11.23,-3.61,,,
2009-01-16,The Baraboo Bancorporation,20749000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1209248,,holding company,783631000.00,Federal Reserve,Baraboo,WI,BAOB,CPP,,,,,,,
2009-01-16,Treaty Oak Bancorp Inc.,3268000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,3228579,,holding company,135990000.00,Federal Reserve,Austin,TX,TOAK,CPP,,,,,,,
2009-01-16,"United Bancorp, Inc.",20600000.00,Par,Preferred Stock w/Warrants,Purchase,1135516,,holding company,839550000.00,Federal Reserve,Tecumseh,MI,UBCP,CPP,9.92,311492,8.50,-1.42,,,
2009-01-16,United Financial Banking Companies Inc.,5658000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1075788,,holding company,239738000.00,Federal Reserve,Vienna,VA,,CPP,,,,,,,
2009-01-16,Washington Banking Company,26380000.00,Par,Preferred Stock w/Warrants,Purchase,2406174,,holding company,898044000.00,Federal Reserve,Oak Harbor,WA,WBCO,CPP,8.04,492164,7.16,-0.88,,,
2009-01-16,Yadkin Valley Financial Corporation,36000000.00,Par,Preferred Stock w/Warrants,Purchase,3432965,,holding company,1525349000.00,Federal Reserve,Elkin,NC,YAVY,CPP,13.99,385990,6.38,-7.61,,,
2009-01-09,American Express Company,3388890000.00,Par,Preferred Stock w/Warrants,Purchase,,,bank,126074000000.00,,New York,NY,AXP,CPP,20.95,24264129,15.72,-5.23,,,
2009-01-09,"American State Bancshares, Inc.",6000000.00,Par,Preferred Stock w/Exercised Warrants,Purchase,1066441,,holding company,354982000.00,Federal Reserve,Great Bend,KS,,CPP,,,,,,,
2009-01-09,Bank of America Corporation,10000000000.00,Par,Preferred Stock w/Warrants,Purchase,1073757,,holding company,1817686267000.00,Federal Reserve,Charlotte,NC,BAC,CPP,30.79,48717116,7.06,-23.73,,,
