Date,Reserve Bank credit,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Term Facility,Term Asset-Backed Securities Loan Facility,Term Asset-Backed Securities Loan Facility,Other federal reserve assets,Central bank liquidity swaps,U.S. Treasury securities
2005-03-17,785361000000,28107000000,8000000,0,35000000,,,,,,,,,,,,,,,40430000000,,717512000000
2005-03-10,777647000000,20893000000,5000000,0,29000000,,,,,,,,,,,,,,,39974000000,,717502000000
2005-03-05,784887000000,26571000000,64000000,0,17000000,,,,,,,,,,,,,,,39612000000,,717686000000
2005-02-24,780772000000,23964000000,5000000,0,16000000,,,,,,,,,,,,,,,39250000000,,717845000000
2005-02-17,783703000000,23929000000,9000000,0,14000000,,,,,,,,,,,,,,,41473000000,,717866000000
2005-02-10,776603000000,16143000000,22000000,0,15000000,,,,,,,,,,,,,,,42221000000,,717886000000
2005-02-03,784230000000,26321000000,42000000,0,19000000,,,,,,,,,,,,,,,39927000000,,717855000000
2005-01-27,780557000000,21893000000,55000000,0,22000000,,,,,,,,,,,,,,,39602000000,,717827000000
2005-01-20,783308000000,24786000000,35000000,0,19000000,,,,,,,,,,,,,,,39702000000,,717825000000
2005-01-13,780682000000,22893000000,45000000,0,20000000,,,,,,,,,,,,,,,39257000000,,717822000000
2005-01-06,791658000000,33214000000,19000000,0,35000000,,,,,,,,,,,,,,,39607000000,,717819000000
2004-12-30,790621000000,31071000000,9000000,0,45000000,,,,,,,,,,,,,,,39272000000,,717727000000
2004-12-23,784475000000,25393000000,19000000,0,56000000,,,,,,,,,,,,,,,40878000000,,717674000000
2004-12-16,782668000000,24821000000,5000000,0,56000000,,,,,,,,,,,,,,,40436000000,,717589000000
2004-12-09,784133000000,28071000000,3000000,0,51000000,,,,,,,,,,,,,,,40244000000,,715618000000
2004-12-02,785515000000,33643000000,6000000,0,67000000,,,,,,,,,,,,,,,39938000000,,711968000000
2004-11-26,779872000000,28607000000,5000000,0,71000000,,,,,,,,,,,,,,,39414000000,,711264000000
