Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,6101,Denton County Transportation Authority,Lewisville,TX,"Denton-Lewisville, TX",105,122,"299,823",MB,PT,,,,,,,,,,,,,,,,"852,454",,
2008,6102,Concho Valley Transit District,San Angelo,TX,"San Angelo, TX",293,46,"87,969",DR,DO,,,,,,,,,,,,,,,,,"485,696","782,159"
2008,6102,Concho Valley Transit District,San Angelo,TX,"San Angelo, TX",293,46,"87,969",MB,DO,,,,,,,,,,,,,,,,,"398,142","363,964"
2008,6103,Fort Bend County Public Transportation,Sugar Land,TX,"Houston, TX",10,"1,295","3,822,509",DR,PT,,,,,,,,,,,,,,,,,"299,092","417,813"
2008,6103,Fort Bend County Public Transportation,Sugar Land,TX,"Houston, TX",10,"1,295","3,822,509",MB,PT,,,,,,,,,,,,,,,,,"359,000","349,912"
2008,6107,"Texoma Area Paratransit System, Inc",Sherman,TX,"Sherman, TX",407,32,"56,168",DR,DO,,,,,,,,,,,,,,,,,"1,324,124","867,891"
2008,6107,"Texoma Area Paratransit System, Inc",Sherman,TX,"Sherman, TX",407,32,"56,168",MB,DO,,,,,,,,,,,,,,,,,,"99,840"
2008,6107,"Texoma Area Paratransit System, Inc",Sherman,TX,"Sherman, TX",407,32,"56,168",MB,PT,,,,,,,,,,,,,,,,,"128,496","129,536"
2008,7001,StarTran,Lincoln,NE,"Lincoln, NE",134,78,"226,582",DR,DO,"166,167","165,802","162,949","162,562","171,365","170,599","163,752","172,949","172,739","182,812","199,378","198,274","138,158","163,267","211,242","220,869","232,016","234,809"
2008,7001,StarTran,Lincoln,NE,"Lincoln, NE",134,78,"226,582",DR,PT,"189,508","206,951","174,228","133,546","119,692","116,664","110,489","108,973","106,267","107,959","109,090","114,587","94,203","86,331","93,608","108,530","118,683","118,737"
2008,7001,StarTran,Lincoln,NE,"Lincoln, NE",134,78,"226,582",MB,DO,"1,337,972","1,331,376","1,188,069","1,176,608","1,213,255","1,273,414","1,282,659","1,306,422","1,305,478","1,305,457","1,400,763","1,402,692","1,388,175","1,417,951","1,407,104","1,406,667","1,452,437","1,480,332"
2008,7002,Transit Authority of Omaha,Omaha,NE,"Omaha, NE-IA",56,226,"626,623",DR,DO,"281,807","299,691","330,267","356,142","384,420","383,612","390,402","389,188","201,537","347,049","348,538","451,833","215,926","401,805","421,075","438,352","432,733","501,635"
2008,7002,Transit Authority of Omaha,Omaha,NE,"Omaha, NE-IA",56,226,"626,623",DR,PT,"97,576","96,528","75,829","61,075","67,652","72,080","90,939","98,289","100,504",,,,,,,,,
2008,7002,Transit Authority of Omaha,Omaha,NE,"Omaha, NE-IA",56,226,"626,623",MB,DO,"3,979,915","3,894,851","3,858,858","3,843,449","3,862,027","3,777,084","3,791,540","3,798,341","3,717,885","3,686,243","3,619,112","3,972,072","3,715,922","3,971,572","3,776,370","3,840,947","3,905,241","3,996,024"
